product_name,nrn,label,fake_type
Simponi Solution ofr Injection in Prefilled Pen,A6-100193,0,name_typo
MenQuadfi Vaccine,A6-200059,0,nrn_tamper
Agcef Tablet,A4-100168,0,nrn_tamper
Lofnaac 100 Tablets,04-7290,0,name_typo
GONAL-f Injection Pre-Filled Pen 900 IU,A6-0112,0,nrn_tamper
Methocarbamol 500 Tablet,A4-100446,0,nrn_tamper
Agazit Tablets,A4-100947,0,nrn_tamper
Crestor 5 mg Tabelts,A4-5402,0,name_typo
Ramicard 5.0,B4-2124,0,nrn_tamper
Pagenax 120 mg/mL Solution for Injection,A6-100170,0,nrn_tamper
Betaglip Tablets,A4-9936,0,nrn_tamper
Lantus SoloStar Solution for Injection in a Pre-Filled Pen,A6-0130,0,nrn_tamper
Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syringe,A6-0459,1,genuine
Axcel Cefuroxime-250 Capsule,A4-2996,1,genuine
Mendz Meningitis Vaccine,A6-100137,0,name_typo
Tetraxim Vaccine Suspension for Injection in Prefilld Syringe,A6-0153,0,name_typo
Debixa-10T ablets,B4-3421,0,name_typo
Dolburg 50,A4-9351,1,genuine
Saxenda 6 mg/mL Solution for Injection in Pre-filled Pen,A6-100104,0,nrn_tamper
MabThera 1400 mg Solution for Subcutaneous Injection,A6-0305,0,nrn_tamper
Actrapid FlexPen 100 IU,A6-0449,1,genuine
Hemlibra 30 mg,A9-100132,0,nrn_tamper
Stlaong 10 mg Tablet,B4-1155,0,name_typo
Valsartil 80 mg Tablets,B6-4097,0,nrn_tamper
Acgef Tablet,A4-100138,0,name_typo
Torvedol 12.5,B4-3260,0,nrn_tamper
Cervarx Vaccine,A6-0012,0,name_typo
Remiade,A6-0490,0,name_typo
Rosuvastatin Tablets,B4-4591,1,genuine
Getryl 2 mg Tablets,A4-6223,1,genuine
Debixa-10 Tablets,B4-3471,0,nrn_tamper
Stalong 20m g Tablets,B4-1154,0,name_typo
Aciguard Antacid Suspension,04-4753,0,nrn_tamper
QuickFix Antibiotic,A4-545790,0,fabricated
HuCog 5000 HP Injectiion,A6-0234,0,name_typo
Zarzio 48 MU/0.5 mL,A3-100055,0,nrn_tamper
Insulinagypt 70/30 (100 IU/mL) Suspension for Injection in Vial,A6-100136,1,genuine
Lantus Solution for Injection ina Vial,A6-0109,0,name_typo
Rotarix Oral Suspnesion Applicator,A6-0136,0,name_typo
Unigyl 400 Tablet,A11-0330,1,genuine
Phesgo 1200 mg/600 mg/15 mL,A6-130063,0,nrn_tamper
Menactra Vaccine,A6-0405,0,nrn_tamper
Humulin R Solution for Injection in Cartridge,A6-0273,0,nrn_tamper
Torplatt-75,B4-5041,1,genuine
Polio Sabin Bivalent Oral Poilomyelitis Vaccine Types 1 and 3 (BOPV),A6-0082,0,name_typo
LantusS olution for Injection in a Cartridge,A6-0110,0,name_typo
Crestor 20 mg Tablets,A4-5404,0,nrn_tamper
Simponi 100 mg solution ofr injection PFP,A6-0474,0,name_typo
Omelife,B4-3353,1,genuine
Chorionic Gonadotropin for Injection USP 5000 IU,A6-100921,0,nrn_tamper
InstaHeal Suspension,A4-779094,0,fabricated
Mabthera 500 mg Concentrate for Solution for Infusion,A6-0105,0,nrn_tamper
Coxiget 400 mg,B4-7149,0,nrn_tamper
Cervarix Vaccine,A6-0012,1,genuine
Accesslife Tramadol Capsules,A4-100153,1,genuine
Cikagyl 400 Tablet,A11-100295,0,nrn_tamper
Aiptol Tablets,A4-3376,0,name_typo
Tecentriq 1200 mg/2 mL,A6-100034,0,name_typo
Herceptin Soluttion for Injection (for Subcutaneous Use),A6-0481,0,name_typo
Menactra Vaccine,A6-0407,1,genuine
Hemlibra 60 mg,A6-100133,1,genuine
Adsorbed Tetanus Toxoid Vaccie,A6-0201,0,name_typo
Humog 150 HP Injection,A6-0203,0,nrn_tamper
Tecentriq 1200 mg/20 mL,A1-100034,0,nrn_tamper
Rabisin Suspension for Injection,A6-0065,1,genuine
Phesgo 1200 mg/600 mg/15 mL,A6-100063,1,genuine
Elaxim-40,A0-0085,0,nrn_tamper
Omeilfe,B4-3353,0,name_typo
NovoSeven 2 gm (100 KIU) powder and solvent for solution for injection,A6-0566,0,name_typo
Acyclovir Ointment,A11-100249,1,genuine
Wosulin 30/70 Bihasic Isophane Insulin Human Injection,A6-0334,0,name_typo
Humog 150 HP Injection,A6-0233,1,genuine
Wosulin N Suspension for Injection 100 IU/m Vial,A6-0239,0,name_typo
Avaxim 160 U Vaccine,A6-100175,1,genuine
Kadcyla Powder for Concentate for Solution for Infusion 100 mg,A6-0506,0,name_typo
Avastin 100 mg,A6-0123,1,genuine
Foliculin 150 HP Injection,A6-0236,1,genuine
Silamac 100 Tablt,B4-4546,0,name_typo
Mircera 50 mcg,A6-0121,1,genuine
Getryl 2mg Tablets,A4-6223,0,name_typo
"Pneubevax 14, 2.5 mL Suspension for injection Pneummococcal",A6-100196,0,name_typo
Tiwnrix Junior Vaccine,A6-0190,0,name_typo
Mendoz Meningitis Vaccine,A6-100137,1,genuine
Betavate C ream,A4-5126,0,name_typo
Eylea 40 mg/mL Solution for Injection,A6-0511,1,genuine
"Binocrit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe",A6-100116,0,nrn_tamper
Varirid vaccine,A6-100127,0,nrn_tamper
Poliomyelitis (Live) Vaccine Type I Type III (Human Diploid Cell) Oral,A6-100119,1,genuine
Humog 75 HP,A6-0632,0,nrn_tamper
Pentabio (DTwP-HB-Hib) Vaccine (1 dose),A6-100062,1,genuine
Tetraxim Vaccine Suspension for Injection in Prefilled Syringe,A6-0158,0,nrn_tamper
Typbar Vi Capsular Polysaccharide Vaccine 0.5,A6-0146,1,genuine
Perjeta 420 mg Concentrate for Solution or Infusion,A6-0526,0,name_typo
AG Sironolactone,A4-100160,0,name_typo
Remicade,A6-0493,0,nrn_tamper
"Binocrit 100,00 IU/1 mL Solution for Injection in A Pre-Filled Syringe",A6-100117,0,name_typo
Omelife,B4-3053,0,nrn_tamper
Toorplatt-75,B4-5041,0,name_typo
Humalog KwikPen Mx25 Suspension for Injection,A6-0618,0,name_typo
Eylea 4 mg/mL Solution for Injection,A6-0511,0,name_typo
Telmisartan 40 Tablet,A4-100144,1,genuine
Humog 75 HP,A6-0232,1,genuine
Levemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen,A6-0306,0,nrn_tamper
Tresiba FlexTouch 100U/mL,A6-0484,1,genuine
Poliomyelitis vaccine (Inactivated),A6-100090,1,genuine
Ketamine Hydrochloride Injection BP,A4-100176,0,nrn_tamper
Stamaril Vaccinne,A6-0112,0,name_typo
Shan IPV (Inactivated Poliomyelitis Vaccine),A6-102057,0,nrn_tamper
Regen-D 150,A6-0033,1,genuine
RegenD 150,A6-0033,0,name_typo
Silmen-5,A6-100154,0,nrn_tamper
"Binocrit 10,000 IU/1 mL Solution for Injection in A Pre-Filled Syringe",A6-100117,1,genuine
Rotasiil Liquid,A6-200122,0,nrn_tamper
Norprazole Capsules,B4-5721,1,genuine
Coxigt 200 mg,B4-6150,0,name_typo
Rebif  44 Micrograms Solution for Injection,A6-100135,0,name_typo
Ceftran For Injection,B4-5204,1,genuine
"Binocrit 10,000 IU/1 mL Solution for Injection in A Pre-Filled Syringe",A9-100117,0,nrn_tamper
Crestor 40 mg Tablets,A4-5405,1,genuine
Lantus Solution for Injection in a Cartridge,A6-0110,1,genuine
Zoleric Capsules,A4-2867,0,nrn_tamper
Cestor 40 mg Tablets,A4-5405,0,name_typo
Telmisartan 80 Tablt,A4-100145,0,name_typo
Mircera 75 mcg,A6-6106,0,nrn_tamper
Cervarix Vaccine,A6-3012,0,nrn_tamper
Albndazole 200,A11-100325,0,name_typo
Poliomyelitis Vaccine (Oral) Bivalent Type 1 and 3,A6-0253,1,genuine
Kadcyla Powder for Concentrate for Solution for Infusion 160 mg,A6-100105,1,genuine
Chovastin 10 mg,A4-9057,0,nrn_tamper
Varirid vaccine,A6-100126,1,genuine
Lisin 10 Tablets,A4-1528,1,genuine
Recormon (Eppoetin Beta 4000 IU/03.mL),A6-0120,0,name_typo
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 2.5 mL",A6-900192,0,nrn_tamper
Pneumosil Vaccine 2.5 mL,A6-100139,0,nrn_tamper
Poliomyelitis vaccine (Inactivated),A6-100060,0,nrn_tamper
Menotas HP 1150,A6-100101,0,name_typo
Actemra 80 mg,A6-100068,1,genuine
Rmaicard 5.0,B4-2128,0,name_typo
Menotas HP 75,A6-100102,1,genuine
GONAL-f Injection Pre-Filled Pen 450 IU,A6-0811,0,nrn_tamper
Axcel Cephalexin-500 Capsule,A4-3150,0,nrn_tamper
Pagenax 120 mg/mL Solution for Ijection,A6-100100,0,name_typo
Axcel Cefuroxime-250 Capsule,A4-2991,0,nrn_tamper
Engerix B 20 (Adult) Vaccine,A6-0041,1,genuine
NovoRapid FlexPen 100 units/mL Solution for Injection i nPre-Filled Pen,A6-0207,0,name_typo
Mabthera 500 mg Concentrate for Solution for Infusion,A6-0104,1,genuine
Hexaxim Vaccine,A6-0347,0,nrn_tamper
Methocarbamol 500 Taablet,A4-100146,0,name_typo
Chovastin 10 mg,A4-9757,1,genuine
Vintor 2000 Injection,A1-0077,0,nrn_tamper
Pasurta 140 mg/mL Solution for Inection in a Prefilled Syringe,A6-100009,0,name_typo
Actemra 80 gm,A6-100068,0,name_typo
Ibuliffe,B4-3418,0,name_typo
NovoSeven 1 mg (50 KIU) powder and solvent for solution for injection,A6-0565,0,nrn_tamper
U-Tryp-Injction,A6-0544,0,name_typo
Rebif 44 Micrograms Solution for Injection,A6-100105,0,nrn_tamper
Candesartan 8 mg Tablets,B4-5705,1,genuine
Artheget ZE,A4-6238,0,name_typo
Adsorbed Td Vaccine,A6-100049,1,genuine
Poliomyelitis Vaccine (Oral) Bivalent Type 1 and 3,A6-8253,0,nrn_tamper
Basagine Injection 100 units/mL,A6-100190,1,genuine
Varilrix Vaccine,A6-0191,1,genuine
Fluconazole Capusles,B4-5731,0,name_typo
Priorix Tetra,A6-0145,0,nrn_tamper
Rhhoclone 300 mcg,A6-0138,0,name_typo
MabThera 1400 mg Solution for Subcutanneous Injection,A6-0505,0,name_typo
Debixa-10 Tablets,B4-3421,1,genuine
Phesgo 600 mg/600 mg/10 mL,A6-100047,0,name_typo
Megalis 10 Tablets,B4-4342,0,nrn_tamper
Telmisartan & Hydrochlorohiazide Tablets USP,A4-100167,0,name_typo
Insuget 70/30 (Human Insulin - rDNA Origin) Injection 100 IU/mL,A6-100184,1,genuine
"Pneubevax 14, 2.5 mL Suspension for injection Pneumococcal",A6-103196,0,nrn_tamper
Meningococcal A Conjugate Vaccine 5 mcg,A6-100060,1,genuine
GONAL-f Injection Pre-Filled Pen 450 IU,A6-0411,1,genuine
Amlodipine Tablets,A11-1275,0,nrn_tamper
Chorionic Gonadotropin for Injection USP 5000 IU,A6-100121,1,genuine
"Veroraab Rabies Vaccine, Inactivated",A6-0154,0,name_typo
Alpent Injection,B4-3655,1,genuine
NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Fille Pen,A6-0204,0,name_typo
Priiorix Tetra,A6-0145,0,name_typo
"Verorab Rabies Vaccine, Inactivated",A6-8154,0,nrn_tamper
Levemir FlexxPen,A6-0206,0,name_typo
Ovitrelle 250 micrograms Solution for Injection in Prefilled Syringe,A6-0437,1,genuine
Hexaxim Vaccine,A6-0447,1,genuine
Ceftran For Injection,B4-5104,0,nrn_tamper
ForteMed Tablet,A3-378535,0,fabricated
PowerHeal Capsule,A4-377405,0,fabricated
Candesartan 16 mg Tablets,B4-5707,1,genuine
Ryzodeg FlexTouch 100 U/mL,A6-7489,0,nrn_tamper
Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syringe,A6-0359,0,nrn_tamper
Mitxard 30 FlexPen 100IU,A6-0448,0,name_typo
SII Td-Va Vaccine,A6-100195,0,name_typo
Wosulin 30/70 Biphasic Isophane Human Insulin,A6-0238,1,genuine
Megalis 20 Tablets,B4-4214,1,genuine
Revac-B 1 mL Single Dose,A6-0147,0,nrn_tamper
Acizip-100 Tablets Tablet Aceclofenac 100 mg,B4-4804,1,genuine
Pneumosil Vaccine  2.5 mL,A6-100189,0,name_typo
Vintor 4000 Injections,A6-0076,1,genuine
Rotavac 2.5 mL Multi-dose,A6-100141,1,genuine
Lantus Solution for Injection in a Cartridge,A6-6110,0,nrn_tamper
Cafekris,A11-100335,1,genuine
Typbar TCV (Typhoid Vi conjugate vaccine),A6-100742,0,nrn_tamper
Simponi 100 mg solution for injection PFP,A6-0474,1,genuine
Tadalafil 20 mg,A4-100141,1,genuine
Hexaxim Vacccine,A6-0447,0,name_typo
Avelox Intravenous Infsuion,A4-3297,0,name_typo
Ryzodeg FlexTouch 100 U/mL,A6-0489,1,genuine
PureLife Injection,A1-273982,0,fabricated
Avxim 160 U Vaccine,A6-100175,0,name_typo
Humulin R Solution for Injection in Cartridge,A6-0271,1,genuine
Insulatard lexPen 100 IU,A6-0450,0,name_typo
Crushmal,A4-100121,0,nrn_tamper
Silmen--5,A6-100157,0,name_typo
Candesartan 16 mg Tablets,B4-5701,0,nrn_tamper
Alpent Injection,B4-3355,0,nrn_tamper
