product_name,full_listing_text,nrn,category,source_url
Tresiba FlexTouch 100U/mL,Tresiba FlexTouch 100U/mL** Solution for injection Insulin degludec 100 units/mL NRN: A6-0484,A6-0484,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7039
Simponi 100 mg solution for injection PFP,Simponi 100 mg solution for injection PFP** Solution for injection Golimumab 100 mg/mL NRN: A6-0474,A6-0474,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7040
GARDASIL Suspension for Intramuscular Injection,"GARDASIL Suspension for Intramuscular Injection** Suspension for injection Human papillomavirus quadrivalent (types 6, 11, 16, & 18) L1 protein vaccine, recombinant 20 mcg/0.5mL; 40 mcg/0.5mL; 40 mcg/0.5mL; 20 mug/0.5mL NRN: A6-100120",A6-100120,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7041
Poliomyelitis Vaccine (Oral) Bivalent Type 1 and 3,Poliomyelitis Vaccine (Oral) Bivalent Type 1 and 3** Solution/Drops Poliomyelitis vaccine (OPV) (live attenuated) 0.1 mL NRN: A6-0253,A6-0253,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7043
Ryzodeg FlexTouch 100 U/mL,Ryzodeg FlexTouch 100 U/mL** Solution for injection Insulin degludec; Insulin aspart 300 units/3 mL NRN: A6-0489,A6-0489,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7044
Remicade,Remicade** Powder for concentrate for solution for infusion Infliximab 100 mg/Vial NRN: A6-0490,A6-0490,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7045
Insulinagypt 70/30 (100 IU/mL) Suspension for Injection in Vial,Insulinagypt 70/30 (100 IU/mL) Suspension for Injection in Vial** Suspension for injection Insulin regular (Human); Isophane insulin 1000 units/10 mL NRN: A6-100136,A6-100136,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7048
Kadcyla Powder for Concentrate for Solution for Infusion 160 mg,Kadcyla Powder for Concentrate for Solution for Infusion 160 mg** Powder for concentrate for solution for infusion Trastuzumab emtansine 160 mg/8 mL NRN: A6-100105,A6-100105,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7049
Kadcyla Powder for Concentrate for Solution for Infusion 100 mg,Kadcyla Powder for Concentrate for Solution for Infusion 100 mg** Powder for concentrate for solution for infusion Trastuzumab emtansine 100 mg/5 mL NRN: A6-0506,A6-0506,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7050
MabThera 1400 mg Solution for Subcutaneous Injection,MabThera 1400 mg Solution for Subcutaneous Injection** Solution for injection Rituximab hyaluronidase (SC formulation) 1400 mg/11.7 mL NRN: A6-0505,A6-0505,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7051
Pagenax 120 mg/mL Solution for Injection,Pagenax 120 mg/mL Solution for Injection** Solution for intravitreal injection Brolucizumab 120 mg/mL NRN: A6-100100,A6-100100,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7052
Ocrevus,Ocrevus** Concentrate for solution for infusion Ocrelizumab 300 mg/10 mL NRN: A6-100051,A6-100051,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7053
Vabysmo,Vabysmo** Solution for injection Faricimab 6 mg/0.05 mL (120 mg/mL) NRN: A6-100124,A6-100124,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7054
Typbar Vi Capsular Polysaccharide Typhoid Vaccine,Typbar Vi Capsular Polysaccharide Typhoid Vaccine** Solution for injection Typhoid Vi Polysaccharide Vaccine 125 mcg/2.5 mL NRN: A6-0446,A6-0446,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7055
Typbar TCV (Typhoid Vi conjugate vaccine),Typbar TCV (Typhoid Vi conjugate vaccine)** Suspension for injection Typhoid Vi Conjugate Vaccine 125 mcg/2.5 mL NRN: A6-100142,A6-100142,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7056
Typbar Vi Capsular Polysaccharide Vaccine 0.5,Typbar Vi Capsular Polysaccharide Vaccine 0.5** Solution for injection Typhoid Vi Polysaccharide Vaccine 25 mcg/ 0.5mL NRN: A6-0146,A6-0146,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7057
Actemra 80 mg,Actemra 80 mg** Concentrate for solution for infusion Tocilizumab 80 mg/4 mL NRN: A6-100068,A6-100068,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7058
Actrapid FlexPen 100 IU,Actrapid FlexPen 100 IU** Solution for injection Insulin regular (Human) 300 units/3 mL NRN: A6-0449,A6-0449,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7059
Apidra 100 IU/mL Solution for Injection in a Vial,Apidra 100 IU/mL Solution for Injection in a Vial** Solution for injection Insulin glulisine 1000 units/10 mL NRN: A6-0366,A6-0366,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7060
Avastin 100 mg,Avastin 100 mg** Concentrate for solution for infusion Bevacizumab 100 mg/4 mL NRN: A6-0123,A6-0123,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7061
GONAL-f Injection Pre-Filled Pen 900 IU,GONAL-f Injection Pre-Filled Pen 900 IU** Solution for injection Follitropin alfa 900 IU/1.5 mL (66 micrograms/1.5 mL) NRN: A6-0412,A6-0412,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7062
GONAL-f Injection Pre-Filled Pen 300 IU,GONAL-f Injection Pre-Filled Pen 300 IU** Solution for injection Follitropin alfa 300 IU/0.5 mL (22 micrograms/0.5 mL) NRN: A6-0410,A6-0410,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7063
GONAL-f Injection Pre-Filled Pen 450 IU,GONAL-f Injection Pre-Filled Pen 450 IU** Solution for injection Follitropin alfa 450 IU/0.75 mL (33 micrograms/0.75 mL) NRN: A6-0411,A6-0411,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7064
Tetanus Antitoxin (Equine) for Human Use Injection,Tetanus Antitoxin (Equine) for Human Use Injection** Solution for injection Tetanus antitoxin 1500 IU/0.75 mL NRN: A6-100064,A6-100064,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7065
Stamaril Vaccine,"Stamaril Vaccine** Powder for suspension for injection Yellow fever, live attenuated 0.5 mL NRN: A6-0112",A6-0112,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7066
Hemlibra 150 mg,Hemlibra 150 mg** Solution for injection Emicizumab 150 mg/1 mL NRN: A6-100134,A6-100134,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7068
Hemlibra 30 mg,Hemlibra 30 mg** Solution for injection Emicizumab 30 mg/1 mL NRN: A6-100132,A6-100132,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7069
Insulatard FlexPen 100 IU,Insulatard FlexPen 100 IU** Suspension for injection Isophane (NPH) insulin 300 units/3 mL NRN: A6-0450,A6-0450,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7070
GlucaGen HypoKit 1 mg,GlucaGen HypoKit 1 mg** Powder for injection Glucagon (rDNA Origin) (Glucagon Hydrochloride) 1 mg NRN: A6-0445,A6-0445,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7071
Vintor 2000 Injection,Vintor 2000 Injection** Solution for injection Epoetin alfa (Recombinant human erythropoietin) 2000 IU/mL NRN: A6-0077,A6-0077,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7072
Vintor 4000 Injections,Vintor 4000 Injections** Solution for injection Epoetin alfa (Recombinant human erythropoietin) 4000 IU/mL NRN: A6-0076,A6-0076,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7073
Humulin N Cartridges,Humulin N Cartridges** Suspension for injection Isophane (NPH) insulin 300 units/3 mL NRN: A6-0270,A6-0270,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7074
Humulin N Injection Vial,Humulin N Injection Vial** Suspension for injection Isophane (NPH) insulin 1000 units/10 mL NRN: A6-0149,A6-0149,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7075
Humulin R Solution for Injection in Cartridge,Humulin R Solution for Injection in Cartridge** Solution for injection Insulin regular (Human) 300 units/3 mL NRN: A6-0271,A6-0271,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7076
Regen-D 150,Regen-D 150** Gel Recombinant human Epidermal Growth Factor 150 mcg/g NRN: A6-0033,A6-0033,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7077
Recombinant Hepatitis B Vaccine 0.5 mL (Pediatric),Recombinant Hepatitis B Vaccine 0.5 mL (Pediatric)** Suspension for injection Hepatitis B vaccine 10 mcg/0.5 mL NRN: A6-100103,A6-100103,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7078
Recombinant Hepatitis B Vaccine 1.0 mL (Adult),Recombinant Hepatitis B Vaccine 1.0 mL (Adult)** Suspension for injection Hepatitis B vaccine 20 mcg/mL NRN: A6-100104,A6-100104,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7079
Regen-D 60,Regen-D 60** Dermal gel Recombinant human Epidermal Growth Factor 60 mcg/g NRN: A6-0032,A6-0032,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7080
Rebif 44 Micrograms Solution for Injection,Rebif 44 Micrograms Solution for Injection** Solution for injection Interferon beta-1a 44 mcg/ 0.5 mL NRN: A6-100135,A6-100135,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7081
Phesgo 600 mg/600 mg/10 mL,Phesgo 600 mg/600 mg/10 mL** Solution for injection Pertuzumab; Trastuzumab 600 mg/10 mL; 600 mg/10 mL NRN: A6-100047,A6-100047,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7082
Hemlibra 60 mg,Hemlibra 60 mg** Solution for injection Emicizumab 60 mg/ 0.4mL NRN: A6-100133,A6-100133,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7086
Wosulin N Suspension for Injection 100 IU/mL Vial,Wosulin N Suspension for Injection 100 IU/mL Vial** Suspension for injection Isophane (NPH) insulin 1000 units/10 mL NRN: A6-0239,A6-0239,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7087
Chorionic Gonadotropin for Injection USP 5000 IU,Chorionic Gonadotropin for Injection USP 5000 IU** Powder for injection Chorionic gonadotrophin 5000 IU NRN: A6-100121,A6-100121,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7088
Varirid vaccine,"Varirid vaccine** Freeze-dried powder for injection Varicella-zoster vaccine, Live attenuated 0.5 mL NRN: A6-100126",A6-100126,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7089
Enspryng Solution for Injection,Enspryng Solution for Injection** Solution for injection Satralizumab 120 mg/1 mL NRN: A6-100128,A6-100128,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7090
Erbitux Solution for Infusion,Erbitux Solution for Infusion** Solution for infusion Cetuximab 100 mg/20 mL NRN: A6-0438,A6-0438,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7091
Poliomyelitis (Live) Vaccine Type I Type III (Human Diploid Cell) Oral,Poliomyelitis (Live) Vaccine Type I Type III (Human Diploid Cell) Oral** Solution/Drops Poliomyelitis vaccine (OPV) (live attenuated) 0.1 mL NRN: A6-100119,A6-100119,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7092
Adsorbed Td Vaccine,Adsorbed Td Vaccine** Suspension for injection Tetanus Toxoid; Diphtheria Toxoid 0.5 mL NRN: A6-100049,A6-100049,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7094
Mircera 50 mcg,Mircera 50 mcg** Solution for injection Methoxy polyethylene glycol-epoetin beta 50 mcg/0.3 mL NRN: A6-0121,A6-0121,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7095
Mircera 75 mcg,Mircera 75 mcg** Solution for injection Methoxy polyethylene glycol-epoetin beta 75 mcg/0.3 mL NRN: A6-0106,A6-0106,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7096
Rabisin Suspension for Injection,Rabisin Suspension for Injection** Suspension for injection Rabies vaccine (inactivated) 1 IU/mL NRN: A6-0065,A6-0065,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7098
Rotavac 2.5 mL Multi-dose,"Rotavac 2.5 mL Multi-dose## Liquid Rotavirus vaccine (live, oral, monovalent) see Composition NRN: A6-100141",A6-100141,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7099
Lantus SoloStar Solution for Injection in a Pre-Filled Pen,Lantus SoloStar Solution for Injection in a Pre-Filled Pen** Solution for injection Insulin glargine 300 units/3 mL NRN: A6-0139,A6-0139,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7100
Lantus Solution for Injection in a Cartridge,Lantus Solution for Injection in a Cartridge** Solution for injection Insulin glargine 300 units/3 mL NRN: A6-0110,A6-0110,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7101
Lantus Solution for Injection in a Vial,Lantus Solution for Injection in a Vial** Solution for injection Insulin glargine 1000 units/10 mL NRN: A6-0109,A6-0109,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7102
Revac-B 10 mL Multi-dose,Revac-B 10 mL Multi-dose** Suspension for injection Hepatitis B vaccine 200 mcg/10 mL NRN: A6-0456,A6-0456,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7103
Meningococcal A Conjugate Vaccine 5 mcg,Meningococcal A Conjugate Vaccine 5 mcg** Powder for injection Meningococcal A Polysaccharide 5 mcg/0.5 mL NRN: A6-100060,A6-100060,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7104
Revac-B 1 mL Single Dose,Revac-B 1 mL Single Dose** Suspension for injection Hepatitis B Surface Antigen; Aluminium hydroxide 20 mcg/mL NRN: A6-0147,A6-0147,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7112
Phesgo 1200 mg/600 mg/15 mL,Phesgo 1200 mg/600 mg/15 mL** Solution for injection Pertuzumab; Trastuzumab 1200 mg/15 mL; 600 mg/15 mL NRN: A6-100063,A6-100063,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7726
Adacel Polio Vaccine,"Adacel Polio Vaccine** Suspension for injection Diphtheria, Tetanus, Pertussis and Poliomyelitis (inactivated) vaccine 0.5 mL NRN: A6-100058",A6-100058,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7753
Nimenrix Vaccine,Nimenrix Vaccine** Powder for injection Meningococcal ACWY conjugate vaccine (MenACWY) 0.5 mL NRN: A6-0259,A6-0259,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8224
Folisurge 1200 IU Injection,Folisurge 1200 IU Injection** Solution for injection Follitropin alfa 1200 IU/1.92 mL NRN: A6-0510,A6-0510,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8275
Folisurge 75 IU Injection,Folisurge 75 IU Injection** Solution for injection Follitropin alfa 75 IU/0.12 mL NRN: A6-0509,A6-0509,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8276
"Binocrit 10,000 IU/1 mL Solution for Injection in A Pre-Filled Syringe","Binocrit 10,000 IU/1 mL Solution for Injection in A Pre-Filled Syringe** Solution for injection Epoetin alfa (Recombinant human erythropoietin) 10,000 IU/1 mL NRN: A6-100117",A6-100117,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8277
"Binocrit 2,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe","Binocrit 2,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe** Solution for injection Epoetin alfa (Recombinant human erythropoietin) 2,000 IU/1 mL NRN: A6-100114",A6-100114,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8278
"Binocrit 4,000 IU/0.4 mL Solution for Injection in a Pre-Filled Syringe","Binocrit 4,000 IU/0.4 mL Solution for Injection in a Pre-Filled Syringe** Solution for injection Epoetin alfa (Recombinant human erythropoietin) 4,000 IU/0.4 mL NRN: A6-100115",A6-100115,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8279
"Binocrit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe","Binocrit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe** Solution for injection Epoetin alfa (Recombinant human erythropoietin) 8,000 IU/0.8 mL NRN: A6-100116",A6-100116,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8280
Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syringe,"Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syringe** Suspension for injection Hepatitis A vaccine, Inactivated 80 antigen units/0.5 mL NRN: A6-0459",A6-0459,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8281
Hexaxim Vaccine,"Hexaxim Vaccine** Suspension for injection Diphtheria, Tetanus, Pertussis (acellular, component), Hepatitis B (rDNA), Poliomyelitis (inactivated) & Haemophilus influenzae type B conjugate vaccine (adsorbed) 0.5 mL NRN: A6-0447",A6-0447,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8314
Humalog KwikPen Mix25 Suspension for Injection,Humalog KwikPen Mix25 Suspension for Injection** Suspension for injection Insulin lispro; Insulin lispro protamine 300 units/3 mL NRN: A6-0618,A6-0618,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8315
Elaxim-40,Elaxim-40** Powder for injection Tenecteplase 40 mg/Vial NRN: A6-0085,A6-0085,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8316
Elaxim 52.5 Injection,Elaxim 52.5 Injection** Powder for injection Tenecteplase 52.5 mg/Vial NRN: A6-0086,A6-0086,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8317
"Verorab Rabies Vaccine, Inactivated","Verorab Rabies Vaccine, Inactivated** Powder for suspension for injection Rabies vaccine (inactivated) 2.5 IU/0.5 mL NRN: A6-0154",A6-0154,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8323
Wosulin 30/70 Biphasic Isophane Human Insulin,Wosulin 30/70 Biphasic Isophane Human Insulin** Suspension for injection Insulin regular (Human); Isophane insulin 1000 units/10 mL NRN: A6-0238,A6-0238,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8324
Wosulin 30/70 Biphasic Isophane Insulin Human Injection,Wosulin 30/70 Biphasic Isophane Insulin Human Injection** Suspension for injection Insulin regular (Human); Isophane insulin 300 units/3 mL NRN: A6-0334,A6-0334,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8325
Wosulin N Suspension for Injection 100 IU/mL Cartridge,Wosulin N Suspension for Injection 100 IU/mL Cartridge** Suspension for injection Isophane (NPH) insulin 300 units/3 mL NRN: A6-0333,A6-0333,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8326
Wosulin R Insulin Human Injection Cartridge,Wosulin R Insulin Human Injection Cartridge** Solution for injection Insulin regular (Human) 300 units/3 mL NRN: A6-0335,A6-0335,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8327
Wosulin R Insulin Human Injection,Wosulin R Insulin Human Injection** Solution for injection Insulin regular (Human) 1000 units/10 mL NRN: A6-0240,A6-0240,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8328
Humalog 100 U/mL KwikPen Solution for Injection,Humalog 100 U/mL KwikPen Solution for Injection** Solution for injection Insulin lispro 300 units/3 mL NRN: A6-0617,A6-0617,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8549
HibPro Haemophilus Influenzae Type B Conjugate Vaccine,HibPro Haemophilus Influenzae Type B Conjugate Vaccine** Injection Haemophilus Influenzae Type B vaccine 0.5 mL NRN: A6-0200,A6-0200,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8550
Herceptin Solution for Injection (for Subcutaneous Use),Herceptin Solution for Injection (for Subcutaneous Use)** Solution for injection Trastuzumab hyaluronidase (SC formulation) 600 mg/5 mL NRN: A6-0481,A6-0481,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8551
Silmen-5,Silmen-5** Powder for injection Meningococcal ACWYX conjugate vaccine (MenACWYX) 0.5 mL NRN: A6-100157,A6-100157,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8635
NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Filled Pen,NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Filled Pen** Suspension for injection Insulin aspart; Insulin aspart protamine 300 units/3 mL NRN: A6-0204,A6-0204,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8728
Priorix Tetra,"Priorix Tetra** Powder for injection Measles, Mumps, and Rubella (MMR); Varicella vaccine 0.5 mL NRN: A6-0145",A6-0145,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8818
Mixtard 30 FlexPen 100IU,Mixtard 30 FlexPen 100IU** Suspension for injection Insulin regular (Human); Isophane insulin 300 units/3 mL NRN: A6-0448,A6-0448,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8820
Mvabea suspension for injection,Mvabea suspension for injection** Suspension for injection Ebola vaccine see Composition NRN: A6-100118,A6-100118,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8858
Zabdeno suspension for injection,Zabdeno suspension for injection** Suspension for injection Ebola vaccine see Composition NRN: A6-100111,A6-100111,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8859
Actrapid 100 IU/mL Vial,Actrapid 100 IU/mL Vial** Solution for injection Insulin regular (Human) 1000 units/10 mL NRN: A6-0069,A6-0069,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8877
Foliculin 75 HP Injection,Foliculin 75 HP Injection** Powder for injection Urofollitropin 75 IU NRN: A6-0235,A6-0235,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8995
Foliculin 150 HP Injection,Foliculin 150 HP Injection** Powder for injection Urofollitropin 150 IU NRN: A6-0236,A6-0236,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/8996
Avaxim 160 U Vaccine,"Avaxim 160 U Vaccine** Suspension for injection Hepatitis A vaccine, Inactivated 160 ELISA units/0.5 mL NRN: A6-100175",A6-100175,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/9030
Adsorbed Tetanus Toxoid Vaccine,Adsorbed Tetanus Toxoid Vaccine** Suspension for injection Tetanus Toxoid not less than 5 Lf (40 IU) NRN: A6-0201,A6-0201,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/9807
Eylea 40 mg/mL Solution for Injection,Eylea 40 mg/mL Solution for Injection** Solution for intravitreal injection Aflibercept 40 mg/mL NRN: A6-0511,A6-0511,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/9827
HuCog 5000 HP Injection,HuCog 5000 HP Injection** Powder for injection Chorionic gonadotrophin 5000 IU NRN: A6-0234,A6-0234,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/10111
Humog 150 HP Injection,Humog 150 HP Injection** Powder for injection Human menopausal gonadotrophin 150 IU NRN: A6-0233,A6-0233,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/10112
Humog 75 HP,Humog 75 HP** Powder for injection Human menopausal gonadotrophin 75 IU NRN: A6-0232,A6-0232,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/10113
Menotas HP 150,Menotas HP 150** Powder for injection Human menopausal gonadotrophin 150 IU NRN: A6-100101,A6-100101,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/10114
