product_name,name_similarity,nrn_exact_match,nrn_format_valid,nrn_similarity,name_nrn_mismatch,label
Rhoclone 300 mcg,1.0,1,1,1.0,0,1
Trovedol 12.5,0.9231,1,1,1.0,0,0
Zarzio 330 MU/0.5 mL,0.9744,1,1,1.0,0,0
Talibex Ciprofloxacin Tableets,0.9831,1,1,1.0,0,0
Levemir FlexPen,1.0,1,1,1.0,0,1
Insulatard FlexPen 100 IU,1.0,1,1,1.0,0,1
Sealmet 1000 Tablet,1.0,1,1,1.0,0,1
Pasurta 70 mg/mL Solution for Injection in a Prefilled Syringe,1.0,1,1,1.0,0,1
Micrera 50 mcg,0.9286,1,1,1.0,0,0
Hemlibra 30 mg,1.0,1,1,1.0,0,1
Folisurge 75 IU Injection,1.0,1,1,1.0,0,1
Enspryng Solution for Injetion,0.9836,1,1,1.0,0,0
Engeix B 20 (Adult) Vaccine,0.9818,1,1,1.0,0,0
Actrapid 100 IU/mL Vial,1.0,1,1,1.0,0,1
Recormon (Epoetin Beta 4000 IU/03.mL),1.0,0,1,0.8571,1,0
GONAL-f Injection PPre-Filled Pen 900 IU,0.9873,1,1,1.0,0,0
Stamaril Vaccine,1.0,0,1,0.875,1,0
Niimenrix Vaccine,0.9697,1,1,1.0,0,0
Glucophage 1000 mg Tabllet,0.9804,1,1,1.0,0,0
GONAL-f Injection Pe-Filled Pen 300 IU,0.987,1,1,1.0,0,0
Actemra 162 mg,1.0,0,1,0.8889,1,0
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 5 mL",1.0,1,1,1.0,0,1
NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Filled Pen,1.0,1,1,1.0,0,1
Torvedol 6..25,0.963,1,1,1.0,0,0
Tecentriq 840 mg/14 mL,1.0,1,1,1.0,0,1
Foliculin 75 HP Inejction,0.96,1,1,1.0,0,0
Adsobred Td Vaccine,0.9474,1,1,1.0,0,0
Telmisartan 80 Tablet,1.0,0,1,0.8889,1,0
Zopen tInjection,0.9375,1,1,1.0,0,0
GARDASIL Suspension for Intramuscular Injection,1.0,1,1,1.0,0,1
Wosulin N Suspension for Injection 100 IU/mL Cartridge,1.0,1,1,1.0,0,1
Unigyl 200 Tablet,1.0,0,1,0.8571,1,0
Typbar Vi Capsular Polysacchaaride Typhoid Vaccine,0.9899,1,1,1.0,0,0
Recombinant Hepatitis B Vaccine 0.5 mL (Pediatric),1.0,1,1,1.0,0,1
Prazivin Tablets,1.0,0,1,0.8571,1,0
Pneumosil Vaccine 0.5 mL,1.0,1,1,1.0,0,1
Seealmet 1000 Tablet,0.9744,1,1,1.0,0,0
Zabdeno suspension for injection,1.0,0,1,0.8889,1,0
Caafekris,0.9412,1,1,1.0,0,0
"Binocrit 4,000 IU/0.4 mL Solution for Injection in a Pre-Filled Syringe",1.0,1,1,1.0,0,1
Priorix Vaccine,1.0,1,1,1.0,0,0
Crestor 5 mg Tablets,1.0,1,1,1.0,0,1
Pentabio (DTwP-H-Hib) Vaccine (1 dose),0.987,1,1,1.0,0,0
Vintor 2000 Injection,1.0,1,1,1.0,0,1
Simponi 100 mg solution for injection PFP,1.0,0,1,0.8571,1,0
Wosulin R Insulin Human Injection,1.0,0,1,0.8571,1,0
Actemra 162m g,0.9286,1,1,1.0,0,0
AG Spironolactone,1.0,1,1,1.0,0,1
Humulin N Injection Vial,1.0,1,1,1.0,0,1
Avelox Intravenous Infusion,1.0,0,1,0.8571,1,0
Cafekris,1.0,0,1,0.9,1,0
Vaxxitek HVT + IBD Vaccine,1.0,1,1,1.0,0,1
Albendazole 200,1.0,0,1,0.9,1,0
AG Spironolactone,1.0,0,1,0.8889,1,0
GlucaGen HypKit 1 mg,0.9756,1,1,1.0,0,0
Chovastin  10 mg,0.9677,1,1,1.0,0,0
Pentabio (DTwP-HB-Hib) Vaccine (1 dose),1.0,0,1,0.8889,1,0
TrustMed Tablet,0.6286,0,1,0.625,0,0
Vabysmmo,0.9333,1,1,1.0,0,0
Menotas HP 150,1.0,1,1,1.0,1,0
Insuget-N NPH (Human Insulin - rDNA Origin) Injection 100 IU/mL,1.0,0,1,0.8889,1,0
Actemra 200 mg,1.0,1,1,1.0,0,0
Actemra 162 mg,1.0,1,1,1.0,0,1
Aazit Tablets,0.963,1,1,1.0,0,0
Cika Dexamethasone Tablets,1.0,0,1,0.9,1,0
Humulin R Solution for Injeciton in Cartridge,0.9778,1,1,1.0,0,0
Vabysmo,1.0,1,1,1.0,0,1
Synflorix 4-Dose Vial,1.0,1,1,1.0,0,1
Nimenrix Vaccine,1.0,0,1,0.875,1,0
Humalog KwikPen Mix25 Suspension for Injection,1.0,1,1,1.0,0,1
Spnotone-25 Tablets,0.9744,1,1,1.0,0,0
Mixtard 30 vial 100 IU/mL,1.0,0,1,0.8571,1,0
Tresba FlexTouch 100U/mL,0.9796,1,1,1.0,0,0
Foliculin 75 HP Injection,1.0,1,1,1.0,0,1
Wosulin 30/70 Biphasic Isophane Human Insulin,1.0,1,1,1.0,1,0
Havrix 1440V accine,0.9474,1,1,1.0,0,0
Telmisartan & Hydrochlorothiazide Tablets USP,1.0,1,1,1.0,0,1
Uniygl 400 Tablet,0.9412,1,1,1.0,0,0
Amikacin Injection,1.0,0,1,0.8571,1,0
Czartan 25 Tablets,1.0,0,1,0.8571,1,0
Humog 510 HP Injection,0.9545,1,1,1.0,0,0
Pneumosil Vaccine 2.5 mL,1.0,1,1,1.0,0,1
Chovastin 20 mg,1.0,1,1,1.0,0,1
Regen-D 60,1.0,1,1,1.0,0,0
Regen-D 60,1.0,1,1,1.0,0,1
Humalog KwikPen Mix25 Suspension for Injection,1.0,0,1,0.8571,1,0
Folisurge 1200 IU Injection,1.0,1,1,1.0,0,1
Norprazole Capsules,1.0,0,1,0.8571,1,0
G-Clav Injection,1.0,1,1,1.0,0,1
Megalis 20 Tablets,1.0,0,1,0.8571,1,0
TypbarV i Capsular Polysaccharide Vaccine 0.5,0.9778,1,1,1.0,0,0
Apidra 100 IU/mL Solution for Injection in a Vial,1.0,1,1,1.0,0,1
Hemlibra 330 mg,0.9655,1,1,1.0,0,0
Wosulin 30/70 Biphasic Isophane Insulin Human Injection,1.0,1,1,1.0,1,0
Tecentriq 840 mg/14 L,0.9767,1,1,1.0,0,0
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 2.5 mL",1.0,1,1,1.0,0,1
NovoSeven 1 mg (50 KIU) powder and solvent for solution for injection,1.0,1,1,1.0,0,1
Artemether Injection,1.0,0,1,0.8571,1,0
U-Tryp-Injection,1.0,0,1,0.8571,1,0
Coxiget 200 mg,1.0,0,1,0.8571,1,0
GARDASIL Suspension for Intramuscular Injection,1.0,0,1,0.8889,1,0
Cika Doxycycline Capsule,1.0,0,1,0.9,1,0
Getryl 2 mg Tablets,1.0,0,1,0.8571,1,0
Marchept (Freeze Dried Live Attenuted),0.987,1,1,1.0,0,0
VitaBoost Capsule,0.5556,0,1,0.625,0,0
Elaxim 52.5 Injection,1.0,1,1,1.0,0,1
Insulinagypt 70/30 (100 IU/mL) Suspension for Injection in Vial,1.0,0,1,0.8889,1,0
Stalong 10 mg Tablet,1.0,0,1,0.8571,1,0
Herceptin Solution for Injection (for Subcutaneous Use),1.0,1,1,1.0,0,1
Telmisartan 80 Tablet,1.0,1,1,1.0,0,1
Tadalafil20 mg,0.9655,1,1,1.0,0,0
Fluconazole Capsules,1.0,1,1,1.0,0,1
Hanmal,1.0,1,1,1.0,0,1
Apitol Tablets,1.0,1,1,1.0,0,1
Ibulife,1.0,1,1,1.0,0,1
Silamac 100 Tablet,1.0,1,1,1.0,0,1
Rotasiil Liquid,1.0,1,1,1.0,0,1
Dolbrug 50,0.9,1,1,1.0,0,0
NovoRapid FlexPen 100 units/mL Solution for Injection in Pre-Filled Pen,1.0,0,1,0.8571,1,0
Apidra 100 IU/mL Solution for Injection in a Vial,1.0,0,1,0.8571,1,0
Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syrine,0.9927,1,1,1.0,0,0
Stalong 10 mg Tablet,1.0,1,1,1.0,0,1
Avromal DS Tablets,1.0,1,1,1.0,0,1
Tadalafil 20 mg,1.0,0,1,0.8889,1,0
Rosuvaastatin Tablets,0.9756,1,1,1.0,0,0
Pneumosil Vaccine 0.5 mL,1.0,0,1,0.8889,1,0
Lantus SoloStar Solution for Injection in a Pre-Filled Pen,1.0,1,1,1.0,0,1
Adsorbed Td Vaccine,1.0,0,1,0.8889,1,0
Priorix Vaccine,1.0,1,1,1.0,0,1
Afrixime CLV 325 Tablets,1.0,1,1,1.0,0,1
Crestor 10 mg Tablets,1.0,0,1,0.8571,1,0
MabThra 100 mg Concentrate for Solution for Infusion,0.9905,1,1,1.0,0,0
Zoleric CCapsules,0.9697,1,1,1.0,0,0
Candesartan 16 mg Tables,0.9796,1,1,1.0,0,0
Albendazole 200,1.0,1,1,1.0,0,1
Acizip-100 Tablets Tablet Acclofenac 100 mg,0.9885,1,1,1.0,0,0
Mircera 7 mcg,0.963,1,1,1.0,0,0
Lantus oSloStar Solution for Injection in a Pre-Filled Pen,0.9828,1,1,1.0,0,0
Humalog 100 U/mL KwikPen Solution for Injection,1.0,1,1,1.0,0,1
Crestor 10 mg Tablets,1.0,1,1,1.0,0,1
Tetanus Antitoxin (Equine) for Human Use Injection,1.0,0,1,0.8889,1,0
Ocrevus,1.0,1,1,1.0,0,1
Acizip-100 Tablets Tablet Aceclofenac 100 mg,1.0,0,1,0.8571,1,0
Saxenda 6 mg/mL Solution for Injection in Pre-filled Pen,1.0,1,1,1.0,0,1
Simponi Solution for Injection in Prefilled Pen,1.0,0,1,0.8889,1,0
Lofnac 100 Tablets,1.0,1,1,1.0,0,1
Avromal DS Tablets,1.0,1,1,1.0,0,0
Kadcyla Powder ofr Concentrate for Solution for Infusion 160 mg,0.9841,1,1,1.0,0,0
AciguardAntacid Suspension,0.9811,1,1,1.0,0,0
Revac-B 10 mL Multi-dose,1.0,0,1,0.8571,1,0
Rabisin Suspension for Injection,1.0,0,1,0.875,1,0
Acyclovir Ointment,1.0,0,1,0.9,1,0
Simulect,1.0,0,1,0.8571,1,0
Revac-B 1 mL Single Dose,1.0,1,1,1.0,0,1
Mvabea suspension for injection,1.0,0,1,0.8889,1,0
Crestor 5 mg Tablets,1.0,1,1,1.0,0,0
Foliculin 150 HP Ijnection,0.9615,1,1,1.0,0,0
Methocarbamol 500 Tablet,1.0,1,1,1.0,0,1
Rosuvastatin Tablets,1.0,0,1,0.8571,1,0
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 5 mL",1.0,0,1,0.8889,1,0
Tresiba FlexTouch 100U/mL,1.0,0,1,0.8571,1,0
Agcef Tablet,1.0,1,1,1.0,0,1
G-Clav Injection,1.0,0,1,0.8571,1,0
Cikagyl 400 Tablet,1.0,1,1,1.0,0,1
Stalong 20 mg Tablets,1.0,1,1,1.0,0,0
U-Tryp-Injection,1.0,1,1,1.0,0,1
Torplatt-75,1.0,0,1,0.8571,1,0
Pentabio (DTwP-HB-Hib) Vaccine (5 dose),1.0,1,1,1.0,0,1
Erbittux Solution for Infusion,0.9831,1,1,1.0,0,0
Spinotone-50 Tablets,1.0,1,1,1.0,0,1
Afrixime CLV 325 Tablets,1.0,0,1,0.8571,1,0
Adaacel Polio Vaccine,0.9756,1,1,1.0,0,0
Crestor 10 mg Tabletts,0.9767,1,1,1.0,0,0
Ovitrelle 250 micorgrams Solution for Injection in Prefilled Syringe,0.9853,1,1,1.0,0,0
Glucophage 1000 mg Tablet,1.0,1,1,1.0,0,1
Zopent Injection,1.0,0,1,0.8571,1,0
Mircera 50 mcg,1.0,0,1,0.8571,1,0
Zabdeno suspension  for injection,0.9846,1,1,1.0,0,0
Basagine Injection 100 units/mL,1.0,0,1,0.8889,1,0
Amlodipine Tablets,1.0,1,1,1.0,0,1
Tetanus Antitoxin (Equine) for Human Use Injection,1.0,1,1,1.0,0,1
Crestor 20 g Tablets,0.9756,1,1,1.0,0,0
Mircera 75 mcg,1.0,1,1,1.0,0,1
Meningococcal A ConjugateVaccine 5 mcg,0.987,1,1,1.0,0,0
Prazivin Tablets,1.0,1,1,1.0,0,1
HuCog 5000 HP Injection,1.0,1,1,1.0,0,1
MenQuadfi Vacine,0.9697,1,1,1.0,0,0
Kadcyla Powder for Concentrate for Solution for Infusion 100 mg,1.0,1,1,1.0,0,1
Mvabea suspension forinjection,0.9836,1,1,1.0,0,0
Mixtard 30 vila 100 IU/mL,0.96,1,1,1.0,0,0
Herceptin Solution for Injection (for Subcutaneous Use),1.0,0,1,0.8571,1,0
MiracleVax Injection,0.7368,0,1,0.625,0,0
Megalis 10 Tablets,1.0,1,1,1.0,0,1
Elaxim-40,1.0,1,1,1.0,0,1
Tetanus Antittoxin (Equine) for Human Use Injection,0.9901,1,1,1.0,0,0
GOONAL-f Injection Pre-Filled Pen 450 IU,0.9873,1,1,1.0,0,0
Torvedol 6.25,1.0,0,1,0.8571,1,0
Coxigt 400 mg,0.963,1,1,1.0,0,0
Zarzio 30 MU/0.5 mL,1.0,0,1,0.8889,1,0
Spinotone-25 Tablets,1.0,1,1,1.0,0,1
Megalis2 0 Tablets,0.9444,1,1,1.0,1,0
Apidra 100 IU/mL Solution for Injectionin a Vial,0.9897,1,1,1.0,0,0
Ovitrelle 250 micrograms Solution for Injection in Prefilled Syringe,1.0,0,1,0.8571,1,0
Stalong 20 mg Tablets,1.0,1,1,1.0,0,1
Aciguard Antacid Suspension,1.0,1,1,1.0,0,1
Reavc-B 10 mL Multi-dose,0.9583,1,1,1.0,0,0
Zarzio 4 MU/0.5 mL,0.973,1,1,1.0,0,0
Simponi Solution ofr Injection in Prefilled Pen,0.9787,1,1,1.0,0,0
MenQuadfi Vaccine,1.0,0,1,0.8889,1,0
Agcef Tablet,1.0,0,1,0.8889,1,0
Lofnaac 100 Tablets,0.973,1,1,1.0,0,0
GONAL-f Injection Pre-Filled Pen 900 IU,1.0,1,1,1.0,1,0
Methocarbamol 500 Tablet,1.0,0,1,0.8889,1,0
Agazit Tablets,1.0,0,1,0.8889,1,0
Crestor 5 mg Tabelts,0.95,1,1,1.0,0,0
Ramicard 5.0,1.0,0,1,0.8571,1,0
Pagenax 120 mg/mL Solution for Injection,1.0,0,1,0.8889,1,0
Betaglip Tablets,1.0,0,1,0.8571,1,0
Lantus SoloStar Solution for Injection in a Pre-Filled Pen,1.0,0,1,0.8571,1,0
Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syringe,1.0,1,1,1.0,0,1
Axcel Cefuroxime-250 Capsule,1.0,1,1,1.0,0,1
Mendz Meningitis Vaccine,0.9796,1,1,1.0,0,0
Tetraxim Vaccine Suspension for Injection in Prefilld Syringe,0.9919,1,1,1.0,0,0
Debixa-10T ablets,0.9412,1,1,1.0,0,0
Dolburg 50,1.0,1,1,1.0,0,1
Saxenda 6 mg/mL Solution for Injection in Pre-filled Pen,1.0,1,1,1.0,1,0
MabThera 1400 mg Solution for Subcutaneous Injection,1.0,0,1,0.8571,1,0
Actrapid FlexPen 100 IU,1.0,1,1,1.0,0,1
Hemlibra 30 mg,1.0,0,1,0.8889,1,0
Stlaong 10 mg Tablet,0.95,1,1,1.0,0,0
Valsartil 80 mg Tablets,1.0,0,1,0.8571,1,0
Acgef Tablet,0.9167,1,1,1.0,0,0
Torvedol 12.5,1.0,0,1,0.8571,1,0
Cervarx Vaccine,0.9677,1,1,1.0,0,0
Remiade,0.9333,1,1,1.0,0,0
Rosuvastatin Tablets,1.0,1,1,1.0,0,1
Getryl 2 mg Tablets,1.0,1,1,1.0,0,1
Debixa-10 Tablets,1.0,0,1,0.8571,1,0
Stalong 20m g Tablets,0.9524,1,1,1.0,0,0
Aciguard Antacid Suspension,1.0,1,1,1.0,0,0
QuickFix Antibiotic,0.4324,0,1,0.75,0,0
HuCog 5000 HP Injectiion,0.9787,1,1,1.0,0,0
Zarzio 48 MU/0.5 mL,1.0,0,1,0.8889,1,0
Insulinagypt 70/30 (100 IU/mL) Suspension for Injection in Vial,1.0,1,1,1.0,0,1
Lantus Solution for Injection ina Vial,0.987,1,1,1.0,0,0
Rotarix Oral Suspnesion Applicator,0.9706,1,1,1.0,0,0
Unigyl 400 Tablet,1.0,1,1,1.0,0,1
Phesgo 1200 mg/600 mg/15 mL,1.0,0,1,0.8889,1,0
Menactra Vaccine,1.0,1,1,1.0,1,0
Humulin R Solution for Injection in Cartridge,1.0,0,1,0.8571,1,0
Torplatt-75,1.0,1,1,1.0,0,1
Polio Sabin Bivalent Oral Poilomyelitis Vaccine Types 1 and 3 (BOPV),0.9853,1,1,1.0,0,0
LantusS olution for Injection in a Cartridge,0.9773,1,1,1.0,0,0
Crestor 20 mg Tablets,1.0,1,1,1.0,0,0
Simponi 100 mg solution ofr injection PFP,0.9756,1,1,1.0,0,0
Omelife,1.0,1,1,1.0,0,1
Chorionic Gonadotropin for Injection USP 5000 IU,1.0,0,1,0.8889,1,0
InstaHeal Suspension,0.6383,0,1,0.75,0,0
Mabthera 500 mg Concentrate for Solution for Infusion,1.0,0,1,0.875,1,0
Coxiget 400 mg,1.0,0,1,0.8571,1,0
Cervarix Vaccine,1.0,1,1,1.0,0,1
Accesslife Tramadol Capsules,1.0,1,1,1.0,0,1
Cikagyl 400 Tablet,1.0,0,1,0.9,1,0
Aiptol Tablets,0.9286,1,1,1.0,0,0
Tecentriq 1200 mg/2 mL,0.9778,1,1,1.0,0,0
Herceptin Soluttion for Injection (for Subcutaneous Use),0.991,1,1,1.0,0,0
Menactra Vaccine,1.0,1,1,1.0,0,1
Hemlibra 60 mg,1.0,1,1,1.0,0,1
Adsorbed Tetanus Toxoid Vaccie,0.9836,1,1,1.0,0,0
Humog 150 HP Injection,1.0,0,1,0.8571,1,0
Tecentriq 1200 mg/20 mL,1.0,0,1,0.8889,1,0
Rabisin Suspension for Injection,1.0,1,1,1.0,0,1
Phesgo 1200 mg/600 mg/15 mL,1.0,1,1,1.0,0,1
Elaxim-40,1.0,0,1,0.8571,1,0
Omeilfe,0.8571,1,1,1.0,0,0
NovoSeven 2 gm (100 KIU) powder and solvent for solution for injection,0.9857,1,1,1.0,0,0
Acyclovir Ointment,1.0,1,1,1.0,0,1
Wosulin 30/70 Bihasic Isophane Insulin Human Injection,0.9908,1,1,1.0,0,0
Humog 150 HP Injection,1.0,1,1,1.0,0,1
Wosulin N Suspension for Injection 100 IU/m Vial,0.9897,1,1,1.0,0,0
Avaxim 160 U Vaccine,1.0,1,1,1.0,0,1
Kadcyla Powder for Concentate for Solution for Infusion 100 mg,0.992,1,1,1.0,0,0
Avastin 100 mg,1.0,1,1,1.0,0,1
Foliculin 150 HP Injection,1.0,1,1,1.0,0,1
Silamac 100 Tablt,0.9714,1,1,1.0,0,0
Mircera 50 mcg,1.0,1,1,1.0,0,1
Getryl 2mg Tablets,0.973,1,1,1.0,0,0
"Pneubevax 14, 2.5 mL Suspension for injection Pneummococcal",0.9915,1,1,1.0,0,0
Tiwnrix Junior Vaccine,0.9545,1,1,1.0,0,0
Mendoz Meningitis Vaccine,1.0,1,1,1.0,0,1
Betavate C ream,0.9677,1,1,1.0,0,0
Eylea 40 mg/mL Solution for Injection,1.0,1,1,1.0,0,1
"Binocrit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe",1.0,1,1,1.0,0,0
Varirid vaccine,1.0,0,1,0.8889,1,0
Poliomyelitis (Live) Vaccine Type I Type III (Human Diploid Cell) Oral,1.0,1,1,1.0,0,1
Humog 75 HP,1.0,0,1,0.8571,1,0
Pentabio (DTwP-HB-Hib) Vaccine (1 dose),1.0,1,1,1.0,0,1
Tetraxim Vaccine Suspension for Injection in Prefilled Syringe,1.0,0,1,0.8571,1,0
Typbar Vi Capsular Polysaccharide Vaccine 0.5,1.0,1,1,1.0,0,1
Perjeta 420 mg Concentrate for Solution or Infusion,0.9903,1,1,1.0,0,0
AG Sironolactone,0.9697,1,1,1.0,0,0
Remicade,1.0,0,1,0.8571,1,0
"Binocrit 100,00 IU/1 mL Solution for Injection in A Pre-Filled Syringe",0.9857,1,1,1.0,0,0
Omelife,1.0,0,1,0.8571,1,0
Toorplatt-75,0.9565,1,1,1.0,0,0
Humalog KwikPen Mx25 Suspension for Injection,0.989,1,1,1.0,0,0
Eylea 4 mg/mL Solution for Injection,0.9863,1,1,1.0,0,0
Telmisartan 40 Tablet,1.0,1,1,1.0,0,1
Humog 75 HP,1.0,1,1,1.0,0,1
Levemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen,1.0,0,1,0.8571,1,0
Tresiba FlexTouch 100U/mL,1.0,1,1,1.0,0,1
Poliomyelitis vaccine (Inactivated),1.0,1,1,1.0,0,1
Ketamine Hydrochloride Injection BP,1.0,0,1,0.8889,1,0
Stamaril Vaccinne,0.9697,1,1,1.0,0,0
Shan IPV (Inactivated Poliomyelitis Vaccine),1.0,0,1,0.8889,1,0
Regen-D 150,1.0,1,1,1.0,0,1
RegenD 150,0.9524,1,1,1.0,0,0
Silmen-5,1.0,0,1,0.8889,1,0
"Binocrit 10,000 IU/1 mL Solution for Injection in A Pre-Filled Syringe",1.0,1,1,1.0,0,1
Rotasiil Liquid,1.0,0,1,0.8889,1,0
Norprazole Capsules,1.0,1,1,1.0,0,1
Coxigt 200 mg,0.963,1,1,1.0,0,0
Rebif  44 Micrograms Solution for Injection,0.9882,1,1,1.0,0,0
Ceftran For Injection,1.0,1,1,1.0,0,1
"Binocrit 10,000 IU/1 mL Solution for Injection in A Pre-Filled Syringe",1.0,0,1,0.8889,1,0
Crestor 40 mg Tablets,1.0,1,1,1.0,0,1
Lantus Solution for Injection in a Cartridge,1.0,1,1,1.0,0,1
Zoleric Capsules,1.0,0,1,0.8571,1,0
Cestor 40 mg Tablets,0.9756,1,1,1.0,0,0
Telmisartan 80 Tablt,0.9756,1,1,1.0,0,0
Mircera 75 mcg,1.0,0,1,0.8571,1,0
Cervarix Vaccine,1.0,0,1,0.8571,1,0
Albndazole 200,0.9655,1,1,1.0,0,0
Poliomyelitis Vaccine (Oral) Bivalent Type 1 and 3,1.0,1,1,1.0,0,1
Kadcyla Powder for Concentrate for Solution for Infusion 160 mg,1.0,1,1,1.0,0,1
Chovastin 10 mg,1.0,0,1,0.8571,1,0
Varirid vaccine,1.0,1,1,1.0,0,1
Lisin 10 Tablets,1.0,1,1,1.0,0,1
Recormon (Eppoetin Beta 4000 IU/03.mL),0.9867,1,1,1.0,0,0
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 2.5 mL",1.0,0,1,0.8889,1,0
Pneumosil Vaccine 2.5 mL,1.0,0,1,0.8889,1,0
Poliomyelitis vaccine (Inactivated),1.0,1,1,1.0,1,0
Menotas HP 1150,0.9655,1,1,1.0,0,0
Actemra 80 mg,1.0,1,1,1.0,0,1
Rmaicard 5.0,0.9167,1,1,1.0,0,0
Menotas HP 75,1.0,1,1,1.0,0,1
GONAL-f Injection Pre-Filled Pen 450 IU,1.0,0,1,0.8571,1,0
Axcel Cephalexin-500 Capsule,1.0,0,1,0.8571,1,0
Pagenax 120 mg/mL Solution for Ijection,0.9873,1,1,1.0,0,0
Axcel Cefuroxime-250 Capsule,1.0,0,1,0.8571,1,0
Engerix B 20 (Adult) Vaccine,1.0,1,1,1.0,0,1
NovoRapid FlexPen 100 units/mL Solution for Injection i nPre-Filled Pen,0.9859,1,1,1.0,0,0
Mabthera 500 mg Concentrate for Solution for Infusion,1.0,1,1,1.0,0,1
Hexaxim Vaccine,1.0,0,1,0.8571,1,0
Methocarbamol 500 Taablet,0.9796,1,1,1.0,0,0
Chovastin 10 mg,1.0,1,1,1.0,0,1
Vintor 2000 Injection,1.0,0,1,0.8571,1,0
Pasurta 140 mg/mL Solution for Inection in a Prefilled Syringe,0.992,1,1,1.0,0,0
Actemra 80 gm,0.9231,1,1,1.0,0,0
Ibuliffe,0.9333,1,1,1.0,0,0
NovoSeven 1 mg (50 KIU) powder and solvent for solution for injection,1.0,1,1,1.0,0,0
U-Tryp-Injction,0.9677,1,1,1.0,0,0
Rebif 44 Micrograms Solution for Injection,1.0,1,1,1.0,1,0
Candesartan 8 mg Tablets,1.0,1,1,1.0,0,1
Artheget ZE,0.9091,1,1,1.0,0,0
Adsorbed Td Vaccine,1.0,1,1,1.0,0,1
Poliomyelitis Vaccine (Oral) Bivalent Type 1 and 3,1.0,0,1,0.8571,1,0
Basagine Injection 100 units/mL,1.0,1,1,1.0,0,1
Varilrix Vaccine,1.0,1,1,1.0,0,1
Fluconazole Capusles,0.95,1,1,1.0,0,0
Priorix Tetra,1.0,1,1,1.0,0,0
Rhhoclone 300 mcg,0.9697,1,1,1.0,0,0
MabThera 1400 mg Solution for Subcutanneous Injection,0.9905,1,1,1.0,0,0
Debixa-10 Tablets,1.0,1,1,1.0,0,1
Phesgo 600 mg/600 mg/10 mL,1.0,1,1,1.0,0,0
Megalis 10 Tablets,1.0,0,1,0.8571,1,0
Telmisartan & Hydrochlorohiazide Tablets USP,0.9888,1,1,1.0,0,0
Insuget 70/30 (Human Insulin - rDNA Origin) Injection 100 IU/mL,1.0,1,1,1.0,0,1
"Pneubevax 14, 2.5 mL Suspension for injection Pneumococcal",1.0,0,1,0.8889,1,0
Meningococcal A Conjugate Vaccine 5 mcg,1.0,1,1,1.0,0,1
